stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Hamburg A Burgwedel,396992,194443,53.648174,9.907798,
Hamburg A Eidelstedt Zentrum,231596,221461,53.610233,9.901142,
Hamburg A Eidelstedt Zentrum,231596,265771,53.6098,9.900665,
Hamburg A Eidelstedt Zentrum,231596,303583,53.609825,9.901768,
Hamburg A Schnelsen,636814,230186,53.633255,9.905974,
Hamburg A Schnelsen,636814,90889,53.63356,9.905336,
Hamburg Airport,354990,173640,53.63257,10.006366,
"Hamburg Airport, Mast 1=6l",354990,160059,53.632145,10.006562,
Hamburg Albertinen-Krankenhaus (A Schnelsen),616051,134440,53.632126,9.905363,
Hamburg Albertinen-Krankenhaus (A Schnelsen),616051,62126,53.632114,9.905498,
Hamburg Alsterdorf,205174,356392,53.606396,10.011347,
Hamburg Alsterdorf,205174,73442,53.606304,10.011418,
Hamburg Alsterdorfer Straße (U S Ohlsdorf),24681,264833,53.619644,10.032116,
Hamburg Alter Teichweg,398516,470583,53.586613,10.064518,
Hamburg Alter Teichweg,398516,50559,53.58664,10.064608,
Hamburg Am Rosengarten,357681,338554,53.52672,9.822961,
Hamburg Am Rosengarten,357681,409492,53.526356,9.821856,
Hamburg Argentinienbrücke,419970,440290,53.528225,9.976088,
Hamburg Barmbek,430866,364092,53.587353,10.044449,
Hamburg Barmbek,430866,91458,53.587074,10.044297,
Hamburg Berliner Tor,283444,363990,53.553333,10.022863,
Hamburg Berliner Tor,283444,423651,53.553448,10.022809,
Hamburg Berliner Tor,283444,431638,53.553288,10.022872,
Hamburg Berne,44083,546602,53.62696,10.139707,
Hamburg Berne,44083,615084,53.626907,10.139842,
Hamburg Bf. Altona,399812,120056,53.551525,9.934918,
Hamburg Bf. Altona,399812,80701,53.551502,9.935358,
Hamburg Bf. Bergedorf,,2764,53.489006,10.205909,1
Hamburg Bf. Bergedorf,2764,182182,53.488888,10.205756,
Hamburg Bf. Bergedorf,2764,281777,53.489487,10.206362,
Hamburg Bf. Bergedorf,2764,294023,53.489,10.205508,
Hamburg Bf. Bergedorf,2764,440723,53.489105,10.2062,
Hamburg Bf. Bergedorf,2764,50711,53.48859,10.205122,
Hamburg Bf. Bergedorf,2764,549374,53.489445,10.206829,
Hamburg Bf. Bergedorf,2764,589110,53.488804,10.205167,
Hamburg Bf. Bergedorf,2764,88462,53.489384,10.206227,
Hamburg Bf. Hasselbrook,140107,256922,53.565296,10.057293,
Hamburg Bf. Hasselbrook,140107,558203,53.564514,10.0575,
Hamburg Bf. Tonndorf,165403,147515,53.586483,10.122585,
Hamburg Bf. Tonndorf,165403,16144,53.58672,10.122163,
Hamburg Bf. Tonndorf,165403,47974,53.58654,10.122702,
Hamburg Bf. Tonndorf (Tonndorfer Hauptstraße),278085,160883,53.58565,10.123331,
Hamburg Bf. Wandsbek,323316,525185,53.570457,10.078442,
Hamburg Billstedt,390771,524342,53.54259,10.107296,
Hamburg Billstedt,390771,597526,53.542355,10.107107,
Hamburg Brandstwiete,529700,181811,53.54707,9.997117,
Hamburg Brandstwiete,529700,378556,53.5475,9.998528,
Hamburg Brandstwiete,529700,536613,53.547073,9.996947,
Hamburg Buchenkamp,211868,289953,53.652897,10.185602,
Hamburg Buchenkamp,211868,639545,53.65297,10.185602,
Hamburg Buckhorn,291779,360383,53.66441,10.155643,
Hamburg Buckhorn,291779,570919,53.664425,10.155778,
Hamburg Burgstraße,477081,343390,53.55589,10.041746,
Hamburg Burgstraße,477081,533076,53.555775,10.041764,
Hamburg Christuskirche,475889,409348,53.569626,9.962415,
Hamburg Christuskirche,475889,622191,53.569546,9.962415,
Hamburg Dammtor,294731,209510,53.560757,9.989569,
Hamburg Dehnhaide,293697,392957,53.578976,10.040793,
Hamburg Dockland (Fischereihafen),342600,307304,53.54317,9.934981,
Hamburg Ebertallee,89350,505335,53.567833,9.888529,
Hamburg Eidelstedter Platz,124773,420135,53.60832,9.904851,
Hamburg Eilbeker Weg,114700,283645,53.568787,10.043848,
Hamburg Eilbeker Weg,114700,364639,53.568214,10.043919,
Hamburg Elbe-Werkstätten Nord,335056,355716,53.638245,10.135179,
Hamburg Emilienstraße,512250,111368,53.571693,9.952758,
Hamburg Emilienstraße,512250,171225,53.571625,9.952678,
Hamburg Farmsen,23336,338672,53.607117,10.117491,
Hamburg Farmsen,23336,453636,53.607258,10.117617,
Hamburg Farmsen,23336,490070,53.607025,10.117806,
Hamburg Flughafenstraße,457236,238616,53.63961,10.012209,
Hamburg Flughafenstraße,457236,46993,53.639652,10.01282,
Hamburg Flughafenstraße,457236,487305,53.639736,10.013221,
Hamburg Flughafenstraße,457236,495567,53.63979,10.013358,
Hamburg Friedensallee,252863,11726,53.554974,9.928585,
Hamburg Fuhlsbüttel,223665,400878,53.63238,10.026807,
Hamburg Fuhlsbüttel,223665,598440,53.63246,10.026896,
Hamburg Fuhlsbüttel Nord,106295,427818,53.63944,10.016763,
Hamburg Fuhlsbüttel Nord,106295,52087,53.63944,10.016602,
Hamburg Griegstraße,397017,63074,53.554382,9.909693,
Hamburg Gurlittstraße,272727,381217,53.55732,10.011257,
Hamburg Gurlittstraße,272727,622213,53.557396,10.011257,
Hamburg Gänsemarkt (Oper),581520,287534,53.555733,9.986481,
Hamburg Gänsemarkt (Oper),581520,620225,53.555607,9.986463,
Hamburg HBF/Kirchenallee,310048,493193,53.554066,10.008175,
Hamburg HBF/Kirchenallee,310048,521604,53.553246,10.008697,
Hamburg HBF/Mönckebergstraße,595976,28298,53.551548,10.004187,
Hamburg HBF/Spitalerstraße,452874,391918,53.552605,10.005139,
Hamburg HBF/Steintordamm,91719,226814,53.552,10.007987,
Hamburg HBF/Steintorwall,16034,499464,53.551662,10.005705,
Hamburg Habichtstraße,205703,521669,53.593586,10.052265,
Hamburg Habichtstraße,205703,613814,53.59368,10.052238,
Hamburg HafenCity Universität,631488,158927,53.54067,10.007601,
Hamburg HafenCity Universität,631488,285370,53.54055,10.007583,
Hamburg Hagenbecks Tierpark,636256,186733,53.5929,9.944081,
Hamburg Hagenbecks Tierpark,636256,557339,53.592873,9.943856,
Hamburg Hagendeel,263656,179322,53.60386,9.945257,
Hamburg Halenreie,87912,477612,53.653194,10.160215,
Hamburg Halenreie,87912,519005,53.65347,10.160287,
Hamburg Hallerstraße,525495,378634,53.57292,9.988934,
Hamburg Hallerstraße,525495,636108,53.57291,9.989131,
Hamburg Hammer Kirche,614325,132268,53.555622,10.054852,
Hamburg Hammer Kirche,614325,197008,53.555767,10.054861,
Hamburg Hasselbrook,347971,338271,53.564716,10.056122,
Hamburg Hauptbahnhof Nord,271888,500478,53.554024,10.005202,
Hamburg Hauptbahnhof Nord,271888,553355,53.55414,10.005139,
Hamburg Hauptbahnhof Süd,334539,195858,53.552017,10.009568,
Hamburg Hauptbahnhof Süd,334539,553153,53.551914,10.009568,
Hamburg Hauptbahnhof/ZOB,433334,426340,53.55213,10.009954,
Hamburg Hauptbahnhof/ZOB,433334,537668,53.552254,10.011209,
Hamburg Hauptbahnhof/ZOB,433334,612984,53.552002,10.010207,
Hamburg Haupteingang Ohlsdorf,63664,115818,53.620716,10.034325,
Hamburg Haupteingang Ohlsdorf,63664,126358,53.620876,10.034263,
Hamburg Haupteingang Ohlsdorf,63664,372186,53.62119,10.034469,
Hamburg Haupteingang Ohlsdorf,63664,419602,53.62064,10.034361,
Hamburg Hbf,407155,65191,53.55271,10.007025,
