stop_name,stop_lat,stop_lon,Bezirk,Bezirk_Name
Bf. Bergedorf,53.488888,10.205756,6,Bergedorf
Steinwerder,53.54004,9.966476,1,Hamburg-Mitte
U Eppendorfer Baum,53.584003,9.983598,4,Hamburg-Nord
S Hochkamp,53.561146,9.842697,2,Altona
Waltershof,53.52566,9.937227,1,Hamburg-Mitte
HBF/Steintorwall,53.551662,10.005705,1,Hamburg-Mitte
U Niendorf Markt,53.61888,9.952094,3,Eimsbüttel
S Tiefstack,53.530495,10.064805,1,Hamburg-Mitte
Farmsen,53.607117,10.117491,5,Wandsbek
Alsterdorfer Straße (U S Ohlsdorf),53.619644,10.032116,4,Hamburg-Nord
Lattenkamp (Sporthalle),53.599995,9.994566,4,Hamburg-Nord
Meiendorfer Weg,53.6388,10.1562,5,Wandsbek
U Wandsbek Markt,53.571804,10.068083,5,Wandsbek
U Hudtwalckerstraße,53.594093,9.996228,4,Hamburg-Nord
S Allermöhe,53.490536,10.158706,6,Bergedorf
Berne,53.62696,10.139707,5,Wandsbek
Rauhes Haus,53.554146,10.066458,1,Hamburg-Mitte
U Sengelmannstraße,53.60899,10.022162,4,Hamburg-Nord
Schlump,53.56761,9.969916,3,Eimsbüttel
U Straßburger Straße,53.582405,10.067815,4,Hamburg-Nord
Messe (Eingang Mitte),53.56191,9.975832,1,Hamburg-Mitte
Haupteingang Ohlsdorf,53.620716,10.034325,4,Hamburg-Nord
U Wandsbek-Gartenstadt,53.592014,10.076061,5,Wandsbek
Hovestieg,53.525127,10.021614,1,Hamburg-Mitte
U Stephansplatz,53.558296,9.98808,1,Hamburg-Mitte
Saselbekstraße,53.656193,10.134101,5,Wandsbek
Halenreie,53.653194,10.160215,5,Wandsbek
Ebertallee,53.567833,9.888529,2,Altona
HBF/Steintordamm,53.552,10.007987,1,Hamburg-Mitte
S Sülldorf,53.580315,9.796317,2,Altona
Überseequartier,53.540493,9.998456,1,Hamburg-Mitte
U Billstedt,53.54256,10.107664,1,Hamburg-Mitte
Fuhlsbüttel Nord,53.63944,10.016763,4,Hamburg-Nord
U Hallerstraße,53.572742,9.98932,3,Eimsbüttel
U Langenhorn Markt (Tangstedter Landstraße,53.648956,10.016368,4,Hamburg-Nord
Wandsbeker Chaussee,53.5698,10.057736,5,Wandsbek
Eilbeker Weg,53.568787,10.043848,5,Wandsbek
U S Landungsbrücken,53.5457,9.970465,1,Hamburg-Mitte
Wagnerstraße,53.57013,10.039922,5,Wandsbek
Eidelstedter Platz,53.60832,9.904851,3,Eimsbüttel
U Rödingsmarkt,53.548363,9.989717,1,Hamburg-Mitte
S Othmarschen,53.559006,9.887199,2,Altona
U Langenhorn Markt,53.649433,10.017356,4,Hamburg-Nord
Theater im Hafen,53.540764,9.974156,1,Hamburg-Mitte
S Neugraben,53.473255,9.851797,7,Harburg
U Christuskirche,53.569565,9.964787,3,Eimsbüttel
Kleine Seilerstraße,53.551056,9.967967,1,Hamburg-Mitte
Bf. Hasselbrook,53.565296,10.057293,5,Wandsbek
Sievekingplatz,53.555958,9.97746,1,Hamburg-Mitte
Volksdorf,53.650482,10.163261,5,Wandsbek
U Niendorf Nord,53.64034,9.949596,3,Eimsbüttel
Lattenkampstieg,53.597225,9.997162,4,Hamburg-Nord
Bf. Tonndorf,53.586483,10.122585,5,Wandsbek
Klosterstern,53.58158,9.988386,3,Eimsbüttel
Altona,53.552803,9.934821,2,Altona
Rahlstedt,53.604923,10.154616,5,Wandsbek
Meßberg,53.54773,10.000746,1,Hamburg-Mitte
U Alter Teichweg,53.58612,10.064958,4,Hamburg-Nord
Legienstraße,53.547016,10.096767,1,Hamburg-Mitte
Klein Borstel,53.628162,10.033265,4,Hamburg-Nord
Jungfernstieg,53.553146,9.994467,1,Hamburg-Mitte
U Steinstraße,53.55009,10.004558,1,Hamburg-Mitte
U Alsterdorf,53.60689,10.011715,4,Hamburg-Nord
Merkenstraße,53.538704,10.124669,1,Hamburg-Mitte
Mundsburg,53.56944,10.027543,4,Hamburg-Nord
Herbstsweg,53.59541,10.050118,4,Hamburg-Nord
Alsterdorf,53.606396,10.011347,4,Hamburg-Nord
Habichtstraße,53.593586,10.052265,4,Hamburg-Nord
Buchenkamp,53.652897,10.185602,5,Wandsbek
Steinfurther Allee (Nord),53.54128,10.137946,1,Hamburg-Mitte
U Borgweg,53.590664,10.015524,4,Hamburg-Nord
U Saarlandstraße,53.58773,10.034272,4,Hamburg-Nord
Fuhlsbüttel,53.63238,10.026807,4,Hamburg-Nord
Trabrennbahn,53.59831,10.102579,5,Wandsbek
Reeseberg,53.450752,9.987748,7,Harburg
A Eidelstedt Zentrum,53.610233,9.901142,3,Eimsbüttel
U Hagenbecks Tierpark,53.593327,9.94356,3,Eimsbüttel
U S Berliner Tor,53.55341,10.025046,1,Hamburg-Mitte
Lippeltstraße,53.545544,10.016287,1,Hamburg-Mitte
Lutterothstraße,53.582058,9.947737,3,Eimsbüttel
Friedensallee,53.554974,9.928585,2,Altona
U Ochsenzoll,53.677616,10.000661,4,Hamburg-Nord
U Hoheluftbrücke,53.578674,9.976061,3,Eimsbüttel
U S Barmbek,53.58755,10.045357,4,Hamburg-Nord
S Rissen,53.58249,9.758606,2,Altona
Hagendeel,53.60386,9.945257,3,Eimsbüttel
U Mundsburg,53.5697,10.027597,4,Hamburg-Nord
Hauptbahnhof Nord,53.554024,10.005202,1,Hamburg-Mitte
Gurlittstraße,53.55732,10.011257,1,Hamburg-Mitte
U S Jungfernstieg,53.55304,9.992653,1,Hamburg-Mitte
Bf. Tonndorf (Tonndorfer Hauptstraße),53.58565,10.123331,5,Wandsbek
Winterhuder Marktplatz,53.594723,9.999381,4,Hamburg-Nord
Berliner Tor,53.553333,10.022863,1,Hamburg-Mitte
Moorstieg,53.470642,9.920608,7,Harburg
Ohlstedt,53.694366,10.137192,5,Wandsbek
U Klosterstern,53.582302,9.987371,3,Eimsbüttel
Buckhorn,53.66441,10.155643,5,Wandsbek
U S Wandsbeker Chaussee,53.570156,10.058625,5,Wandsbek
Dehnhaide,53.578976,10.040793,4,Hamburg-Nord
Dammtor,53.560757,9.989569,3,Eimsbüttel
Straßburger Straße,53.581657,10.068183,4,Hamburg-Nord
Nagelsweg,53.543438,10.022522,1,Hamburg-Mitte
Uhlandstraße,53.56425,10.027004,4,Hamburg-Nord
U Buchenkamp,53.65305,10.186608,5,Wandsbek
HBF/Kirchenallee,53.554066,10.008175,1,Hamburg-Mitte
U Burgstraße,53.55579,10.042985,1,Hamburg-Mitte
Bf. Wandsbek,53.570457,10.078442,5,Wandsbek
Messehallen,53.558197,9.976788,1,Hamburg-Mitte
Hauptbahnhof Süd,53.552017,10.009568,1,Hamburg-Mitte
Elbe-Werkstätten Nord,53.638245,10.135179,5,Wandsbek
Landungsbrücken Brücke 1,53.544785,9.971596,1,Hamburg-Mitte
Ritterstraße,53.56769,10.046623,5,Wandsbek
U Baumwall,53.54444,9.981666,1,Hamburg-Mitte
Dockland (Fischereihafen),53.54317,9.934981,2,Altona
S Reeperbahn,53.55095,9.955632,2,Altona
U Berne,53.62597,10.140138,5,Wandsbek
Hasselbrook,53.564716,10.056122,5,Wandsbek
U Fuhlsbüttel,53.631897,10.026097,4,Hamburg-Nord
U S Sternschanze,53.56415,9.96635,2,Altona
Airport,53.63257,10.006366,4,Hamburg-Nord
Am Rosengarten,53.52672,9.822961,7,Harburg
Parkstraße/Elbchaussee,53.54668,9.881378,2,Altona
Seumestraße,53.573597,10.052283,5,Wandsbek
U Farmsen,53.607174,10.117447,5,Wandsbek
Steinstraße,53.54907,10.006289,1,Hamburg-Mitte
U Meiendorfer Weg,53.63906,10.157089,5,Wandsbek
U Horner Rennbahn,53.55444,10.084631,1,Hamburg-Mitte
S Wellingsbüttel,53.640953,10.082736,5,Wandsbek
Langenhorn Nord,53.66057,10.017437,4,Hamburg-Nord
U Hamburger Straße,53.574192,10.037128,4,Hamburg-Nord
S Klein Flottbek,53.55836,9.861355,2,Altona
Niendorf Nord,53.6407,9.950225,3,Eimsbüttel
Neuländer Hauptdeich,53.470146,9.995383,7,Harburg
Langenhorn Markt,53.64895,10.017275,4,Hamburg-Nord
U Gänsemarkt,53.555454,9.988592,1,Hamburg-Mitte
Harburg,53.455902,9.991704,7,Harburg
Billstedt,53.54259,10.107296,1,Hamburg-Mitte
A Burgwedel,53.648174,9.907798,3,Eimsbüttel
Griegstraße,53.554382,9.909693,2,Altona
U S Ohlsdorf(Freibad),53.620796,10.030984,4,Hamburg-Nord
U Langenhorn Nord,53.66136,10.018722,4,Hamburg-Nord
Alter Teichweg,53.586613,10.064518,4,Hamburg-Nord
Bf. Altona,53.551525,9.934918,2,Altona
Wandsbek Markt,53.5716,10.066719,5,Wandsbek
Neuhof,53.524166,9.940712,1,Hamburg-Mitte
Hudtwalckerstraße,53.59483,9.996075,4,Hamburg-Nord
Hbf,53.55271,10.007025,1,Hamburg-Mitte
Osterstraße,53.57614,9.951689,3,Eimsbüttel
S Poppenbüttel (Stormarnplatz),53.65142,10.094468,5,Wandsbek
S Rübenkamp (Zugang S-Bahn),53.60739,10.032987,4,Hamburg-Nord
Argentinienbrücke,53.528225,9.976088,1,Hamburg-Mitte
Neugraben,53.474144,9.852053,7,Harburg
S Friedrichsberg,53.576508,10.05857,4,Hamburg-Nord
S Iserbrook,53.577423,9.813457,2,Altona
Ochsenzoll,53.678005,10.001492,4,Hamburg-Nord
Barmbek,53.587353,10.044449,4,Hamburg-Nord
Hauptbahnhof/ZOB,53.55213,10.009954,1,Hamburg-Mitte
Niendorf Markt,53.619568,9.951537,3,Eimsbüttel
Steinfurther Allee,53.541084,10.139177,1,Hamburg-Mitte
Lohmühlenstraße,53.556553,10.019009,1,Hamburg-Mitte
U Überseequartier,53.541252,9.999282,1,Hamburg-Mitte
U S Berliner Tor (Beim Strohhause),53.553307,10.021746,1,Hamburg-Mitte
Immenhöven,53.66083,10.021722,4,Hamburg-Nord
HBF/Spitalerstraße,53.552605,10.005139,1,Hamburg-Mitte
S Poppenbüttel (Wentzelplatz),53.651398,10.09268,5,Wandsbek
S Nettelnburg,53.488556,10.181685,6,Bergedorf
Flughafenstraße,53.63961,10.012209,4,Hamburg-Nord
U Steinfurther Allee,53.54147,10.139006,1,Hamburg-Mitte
S Alte Wöhr,53.59683,10.037029,4,Hamburg-Nord
U Sierichstraße,53.590553,10.002417,4,Hamburg-Nord
U HafenCity Universität,53.54083,10.006559,1,Hamburg-Mitte
Christuskirche,53.569626,9.962415,3,Eimsbüttel
S Bahrenfeld,53.55979,9.909873,2,Altona
Burgstraße,53.55589,10.041746,1,Hamburg-Mitte
Im Grünen Grunde,53.62302,10.031487,4,Hamburg-Nord
Joachim-Mähl-Straße,53.629017,9.949893,3,Eimsbüttel
S Landwehr (Ramazan-Avci-Platz),53.56148,10.037056,4,Hamburg-Nord
U Lohmühlenstraße,53.55713,10.02006,1,Hamburg-Mitte
U Kellinghusenstraße,53.5882,9.991313,4,Hamburg-Nord
U Wartenau,53.56295,10.033292,4,Hamburg-Nord
Stephansplatz (Oper/CCH),53.558556,9.98932,1,Hamburg-Mitte
U Uhlandstraße,53.56549,10.025908,4,Hamburg-Nord
U Mümmelmannsberg,53.52712,10.14984,1,Hamburg-Mitte
U St.Pauli,53.550182,9.970446,1,Hamburg-Mitte
Emilienstraße,53.571693,9.952758,3,Eimsbüttel
Ohlsdorf,53.620716,10.03119,4,Hamburg-Nord
